"ano (nome)","Ano","localidade (nome)","uf","ano","nascidos"
2021,"766.454","Nordeste",NA,2021,"766.454"
2021,"106.251","Maranhão","MA",2021,"106.251"
2021,"48.729","Piauí","PI",2021,"48.729"
2021,"120.262","Ceará","CE",2021,"120.262"
2021,"44.116","Rio Grande do Norte","RN",2021,"44.116"
2021,"55.757","Paraíba","PB",2021,"55.757"
2021,"127.916","Pernambuco","PE",2021,"127.916"
2021,"48.664","Alagoas","AL",2021,"48.664"
2021,"32.283","Sergipe","SE",2021,"32.283"
2021,"182.476","Bahia","BA",2021,"182.476"
2021,"1.010.060","Sudeste",NA,2021,"1.010.060"
2021,"241.785","Minas Gerais","MG",2021,"241.785"
2021,"52.115","Espírito Santo","ES",2021,"52.115"
2021,"189.821","Rio de Janeiro","RJ",2021,"189.821"
2021,"526.339","São Paulo","SP",2021,"526.339"
2021,"362.794","Sul",NA,2021,"362.794"
2021,"142.197","Paraná","PR",2021,"142.197"
2021,"96.248","Santa Catarina","SC",2021,"96.248"
2021,"124.349","Rio Grande do Sul","RS",2021,"124.349"
2021,"229.296","Centro-Oeste",NA,2021,"229.296"
2021,"41.800","Mato Grosso do Sul","MS",2021,"41.800"
2021,"57.900","Mato Grosso","MT",2021,"57.900"
2021,"78.369","Goiás","GO",2021,"78.369"
2021,"51.227","Distrito Federal","DF",2021,"51.227"
2022,"2.561.922","Brasil",NA,2022,"2.561.922"
2022,"288.536","Norte",NA,2022,"288.536"
2022,"24.811","Rondônia","RO",2022,"24.811"
2022,"15.193","Acre","AC",2022,"15.193"
2022,"72.056","Amazonas","AM",2022,"72.056"
2022,"13.056","Roraima","RR",2022,"13.056"
2022,"126.071","Pará","PA",2022,"126.071"
2022,"15.065","Amapá","AP",2022,"15.065"
2022,"22.284","Tocantins","TO",2022,"22.284"
2022,"709.216","Nordeste",NA,2022,"709.216"
2022,"95.898","Maranhão","MA",2022,"95.898"
2022,"44.591","Piauí","PI",2022,"44.591"
2022,"112.549","Ceará","CE",2022,"112.549"
2022,"40.572","Rio Grande do Norte","RN",2022,"40.572"
2022,"50.930","Paraíba","PB",2022,"50.930"
2022,"118.135","Pernambuco","PE",2022,"118.135"
2022,"45.781","Alagoas","AL",2022,"45.781"
2022,"29.514","Sergipe","SE",2022,"29.514"
2022,"171.246","Bahia","BA",2022,"171.246"
2022,"980.010","Sudeste",NA,2022,"980.010"
2022,"234.232","Minas Gerais","MG",2022,"234.232"
2022,"51.621","Espírito Santo","ES",2022,"51.621"
2022,"180.278","Rio de Janeiro","RJ",2022,"180.278"
2022,"513.879","São Paulo","SP",2022,"513.879"
2022,"359.611","Sul",NA,2022,"359.611"
2022,"140.824","Paraná","PR",2022,"140.824"
2022,"97.871","Santa Catarina","SC",2022,"97.871"
2022,"120.916","Rio Grande do Sul","RS",2022,"120.916"
2022,"224.549","Centro-Oeste",NA,2022,"224.549"
2022,"40.188","Mato Grosso do Sul","MS",2022,"40.188"
2022,"58.059","Mato Grosso","MT",2022,"58.059"
2022,"77.526","Goiás","GO",2022,"77.526"
2022,"48.776","Distrito Federal","DF",2022,"48.776"
